epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,481.385,1.94542,3.45875,1.76399,0.51547,0.28686,0.25121,0.11668,2.03769,2.58373,1.89186,0.000237774,0.000237774,0.000237774
2,940.997,1.9027,2.42282,1.75703,0.41266,0.29449,0.25665,0.11239,2.03617,2.44017,1.87693,0.000452223,0.000452223,0.000452223
3,1400.06,1.88841,2.32689,1.73632,0.57741,0.30818,0.2983,0.14716,1.99321,2.41518,1.85714,0.00064311,0.00064311,0.00064311
4,1845.26,1.84197,2.25866,1.70896,0.53656,0.35713,0.32023,0.15676,1.93042,2.28787,1.81168,0.000607971,0.000607971,0.000607971
5,2297.06,1.80568,2.15931,1.67524,0.57693,0.36267,0.35524,0.17793,1.91302,2.19289,1.80231,0.000572628,0.000572628,0.000572628
6,2728.42,1.76952,2.06799,1.64401,0.52589,0.37111,0.37739,0.18294,1.90481,2.13968,1.78025,0.000537285,0.000537285,0.000537285
7,3178.19,1.74291,2.00816,1.62495,0.62639,0.37787,0.38583,0.19307,1.86415,2.16408,1.75236,0.000501942,0.000501942,0.000501942
8,3729.55,1.73161,1.95671,1.61144,0.64333,0.38932,0.43201,0.21537,1.82202,1.9822,1.73646,0.000466599,0.000466599,0.000466599
9,4189.7,1.70334,1.89651,1.58918,0.46081,0.49907,0.45483,0.23955,1.8259,1.94848,1.71839,0.000431256,0.000431256,0.000431256
10,4619.17,1.68618,1.8685,1.5878,0.51068,0.50721,0.47289,0.24097,1.82915,1.88542,1.71027,0.000395913,0.000395913,0.000395913
11,5091.44,1.71047,1.82561,1.63847,0.44572,0.44121,0.46107,0.22603,1.81393,1.8726,1.71134,0.00036057,0.00036057,0.00036057
12,5535.65,1.68519,1.77738,1.62863,0.48971,0.46563,0.46197,0.2441,1.79433,1.84033,1.68554,0.000325227,0.000325227,0.000325227
13,5945.66,1.66476,1.72028,1.60161,0.55931,0.49365,0.49772,0.25799,1.79172,1.79741,1.68467,0.000289884,0.000289884,0.000289884
14,6375.99,1.64411,1.67562,1.59075,0.52173,0.49454,0.49721,0.26116,1.76332,1.77667,1.66007,0.000254541,0.000254541,0.000254541
15,6810.98,1.62568,1.63197,1.57593,0.54329,0.54093,0.51841,0.26541,1.76607,1.74125,1.65529,0.000219198,0.000219198,0.000219198
16,7255,1.60686,1.58637,1.56141,0.53599,0.50751,0.5104,0.27692,1.76296,1.71345,1.65848,0.000183855,0.000183855,0.000183855
17,7694.02,1.58879,1.53494,1.55236,0.50665,0.51345,0.50153,0.26742,1.76735,1.69365,1.6527,0.000148512,0.000148512,0.000148512
18,8118.35,1.56315,1.49678,1.52975,0.59746,0.48439,0.54036,0.29671,1.76724,1.67039,1.64851,0.000113169,0.000113169,0.000113169
19,8543.63,1.54487,1.45636,1.51821,0.53937,0.54128,0.53802,0.28199,1.76718,1.64877,1.65082,7.7826e-05,7.7826e-05,7.7826e-05
20,8977.02,1.52814,1.40648,1.50346,0.52331,0.58523,0.54976,0.29049,1.76783,1.64075,1.64922,4.2483e-05,4.2483e-05,4.2483e-05
